 time,noel,npt,ntens,stress,strain,elstrain,plstrain,dlstrain,pwic,cumwork,heatinc,cumheat,Trise,cumT
0.050000,       1,       2,       1,  0.21974E-11, -0.60006E-04,  0.10987E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.23880-317,  0.10175E-27,  0.11411E-27,  0.27579E-34,  0.30927E-34
0.050000,       1,       2,       2,  0.21974E-11, -0.60006E-04,  0.10987E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.10175E-27,  0.11411E-27,  0.27579E-34,  0.30927E-34
0.050000,       1,       2,       3,  0.40004E+02,  0.20002E-03,  0.20002E-03,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.10175E-27,  0.11411E-27,  0.27579E-34,  0.30927E-34
0.050000,       1,       2,       4, -0.16940E-14, -0.22022E-19, -0.84698E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.13584E-36,  0.10175E-27,  0.11411E-27,  0.27579E-34,  0.30927E-34
0.050000,       1,       2,       5, -0.23460E-14, -0.30498E-19, -0.11730E-19,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.86968E-35,  0.10175E-27,  0.11411E-27,  0.27579E-34,  0.30927E-34
0.050000,       1,       2,       6,  0.41706E-14,  0.54217E-19,  0.20853E-19,  0.33365E-19,  0.27109E-19,  0.11306E-33,  0.11795E-33,  0.10175E-27,  0.11411E-27,  0.27579E-34,  0.30927E-34
0.050000,       1,       3,       1,  0.21956E-11, -0.60006E-04,  0.10978E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.23880-317,  0.29371E-28,  0.41723E-28,  0.79608E-35,  0.11309E-34
0.050000,       1,       3,       2,  0.21938E-11, -0.60006E-04,  0.10969E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.29371E-28,  0.41723E-28,  0.79608E-35,  0.11309E-34
0.050000,       1,       3,       3,  0.40004E+02,  0.20002E-03,  0.20002E-03,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.29371E-28,  0.41723E-28,  0.79608E-35,  0.11309E-34
0.050000,       1,       3,       4, -0.26061E-15, -0.33879E-20, -0.13030E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.13584E-36,  0.29371E-28,  0.41723E-28,  0.79608E-35,  0.11309E-34
0.050000,       1,       3,       5,  0.26073E-14,  0.33894E-19,  0.13036E-19,  0.20858E-19,  0.12517E-19,  0.32635E-34,  0.41331E-34,  0.29371E-28,  0.41723E-28,  0.79608E-35,  0.11309E-34
0.050000,       1,       3,       6, -0.18247E-14, -0.23722E-19, -0.91237E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.48916E-35,  0.29371E-28,  0.41723E-28,  0.79608E-35,  0.11309E-34
0.050000,       1,       4,       1,  0.21867E-11, -0.60006E-04,  0.10933E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.23880-317,  0.18251E-27,  0.19486E-27,  0.49466E-34,  0.52814E-34
0.050000,       1,       4,       2,  0.21849E-11, -0.60006E-04,  0.10925E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.18251E-27,  0.19486E-27,  0.49466E-34,  0.52814E-34
0.050000,       1,       4,       3,  0.40004E+02,  0.20002E-03,  0.20002E-03,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.18251E-27,  0.19486E-27,  0.49466E-34,  0.52814E-34
0.050000,       1,       4,       4, -0.39091E-15, -0.50819E-20, -0.19546E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.13584E-36,  0.18251E-27,  0.19486E-27,  0.49466E-34,  0.52814E-34
0.050000,       1,       4,       5,  0.39103E-14,  0.50834E-19,  0.19552E-19,  0.31282E-19,  0.22941E-19,  0.89707E-34,  0.98404E-34,  0.18251E-27,  0.19486E-27,  0.49466E-34,  0.52814E-34
0.050000,       1,       4,       6,  0.41708E-14,  0.54221E-19,  0.20854E-19,  0.33367E-19,  0.27111E-19,  0.11308E-33,  0.11797E-33,  0.18251E-27,  0.19486E-27,  0.49466E-34,  0.52814E-34
0.050000,       1,       5,       1,  0.21938E-11, -0.60006E-04,  0.10969E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.23880-317,  0.00000E+00,  0.12352E-28,  0.00000E+00,  0.33478E-35
0.050000,       1,       5,       2,  0.21938E-11, -0.60006E-04,  0.10969E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.12352E-28,  0.00000E+00,  0.33478E-35
